0,1,2,3,4,5,6,7,8,9,10,11
0.077195225,0.07720846913058517,0.07722168678607946,0.07728560926304391,0.07734937380419644,0.07758907390484114,0.07782661361632318,0.0780619911191545,0.07905426900578191,0.07950815366385436,0.07995262251438687,0.080243413739136
0.007719522500000001,0.00772155948269546,0.007723592315916032,0.007733423430184153,0.007743230360472939,0.007780096999119235,0.007816632966184171,0.007852837990301693,0.008005474913029413,0.008075295238538496,0.008143669980856503,0.008188404816413097
0.06947570250000001,0.06948709157399839,0.06949845481830738,0.06955341100543316,0.0696082359010722,0.06981437111757433,0.07001871457947217,0.07022126399760156,0.0710748293255563,0.07146512310202038,0.0718473682147833,0.07209741601727275
0.006947570250000002,0.006949321899509489,0.006951069507625885,0.006959521525342454,0.006967953449913712,0.006999657408012532,0.007031087280779638,0.007062242724851587,0.007193543041488545,0.007253582174368669,0.007312385967141095,0.007350853893267841
0.06252813225000002,0.06253773900391493,0.06254732379833397,0.06259368378812832,0.06263993882754085,0.0628139010097585,0.06298643112076194,0.063157526115666,0.06387876194165308,0.06420877015791726,0.06453217707484606,0.06474380896019105
0.006252813225000002,0.006254290738835027,0.006255764816286903,0.006262894711370542,0.006270008553907846,0.006296764056099812,0.0063233006312784345,0.0063496178201365855,0.006460563030585708,0.006511329021288914,0.006561082117526569,0.006593640741264142
0.05627531902500002,0.056283245881395716,0.056291156221273383,0.05632942369996584,0.05636761085482147,0.056511281348374284,0.05665385364539951,0.05679532404993194,0.05739227149656388,0.057665864325828625,0.05793428152129925,0.05811007002940739
0.005627531902500002,0.005628751066757119,0.005629967645614003,0.005635853066365779,0.005641726207423788,0.005663823236511099,0.005685752464843701,0.00570751333255351,0.0057993419038557745,0.005841430752957796,0.005882725725936701,0.0059097711230028
0.05064778712250002,0.05065421033258625,0.050660625102854934,0.05069166613503748,0.05072264818279618,0.05083925774617318,0.0509550538187128,0.05107003210102053,0.051556034922640416,0.051779485503136415,0.051999104311390584,0.05214314843358792
0.005064778712250002,0.0050657666118022636,0.005066753177755496,0.005071527195019313,0.0050762922031728904,0.005094227203239992,0.00511203801841994,0.005129723995860197,0.0052044868740877956,0.00523886268929378,0.005272651103815988,0.005294813256810207
0.045583008410250016,0.04558803387376708,0.04559305956013989,0.045617388544027186,0.045641677346262954,0.04573313881170945,0.04582403579847484,0.04591436366381716,0.04629725551157949,0.04647419573246817,0.04664856912897412,0.046763206658266644
0.004558300841025002,0.0045590737425694255,0.004559846648717562,0.004563588257142172,0.004567323737988193,0.004581390466786183,0.004595371157335859,0.004609265104070183,0.004668165277875112,0.004695385571402908,0.004722212748920692,0.004739850412516659
0.041024707569225015,0.04102838541640342,0.041032069943303884,0.041049915532730796,0.041067737181196766,0.04113488593908814,0.04120168743484942,0.041268137303988796,0.041550963879749395,0.041682574127404615,0.04181273825896153,0.04189858425264972
0.004102470756922502,0.00410303636449267,0.0041036029740088645,0.004106347300650289,0.004109087984893056,0.0041194147479642566,0.004129688698994279,0.004139909174964812,0.004183413547335019,0.004203658807583874,0.004223682875900585,0.004236889720256364
0.036922236812302514,0.0369246278560355,0.03692702712049997,0.03693865379967305,0.03695026901068448,0.03699406390953667,0.03703768420825227,0.037081126690590126,0.03726686232165872,0.03735392424493417,0.0374403597685774,0.03749755667197665
0.0036922236812302516,0.0036925914134005146,0.0036929603966683083,0.003694748474187902,0.0036965348079546563,0.0037032703232805523,0.003709979288167827,0.0037166612130497437,0.0037452312507044263,0.0037586236962129987,0.0037719204368368447,0.0037807195677966583
0.03323001313107227,0.033231493317720046,0.033232981787199856,0.03324019878048656,0.03324741083077659,0.03327461884372564,0.033301744085287965,0.03332878432436675,0.03344490012788167,0.033499752793588924,0.03355442354233782,0.03359072577077035
0.0033230013131072267,0.0033232289642094568,0.0033234578822330246,0.003324567818139139,0.003325677003640007,0.003329861581539012,0.00333403357893132,0.003338192655589088,0.0033560534770583792,0.0033644910964386993,0.0033729010548706065,0.0033784855459155607
0.02990701181796504,0.029907834313642433,0.029908664399317598,0.029912692108859596,0.029916718228799863,0.0299319139274137,0.029947075318621987,0.02996220090375802,0.030027486314949687,0.030058649553839932,0.030089862679684786,0.030110679910097245
0.002990701181796504,0.0029908276755486792,0.002990955332685919,0.0029915747470658184,0.0029921939214845542,0.002994530900604326,0.002996862673433773,0.0029991890110658732,0.0030092304726333494,0.003014023726845013,0.0030188247925506642,0.003022026872319656
0.026916310636168537,0.026916631800263165,0.026916959295764813,0.02691855112842755,0.026920143012255246,0.02692615355508891,0.0269321549946803,0.026938146381304564,0.026964255654767448,0.026977016398792332,0.02698993148992097,0.02699862459947741
0.002691631063616854,0.0026916804394046747,0.0026917307860349466,0.0026919755017899756,0.002692220226943295,0.002693144261664174,0.0026940669225747668,0.002694988064428762,0.0026990023413995725,0.0027009642406241813,0.00270294988828791,0.0027042864279610396
0.024224679572551682,0.024224566792074406,0.024224458189455237,0.02422393497861523,0.02422341239383203,0.02422143824148453,0.024219466503126303,0.024217496703575547,0.02420920065139918,0.024205612470533832,0.024202180517102156,0.024199984960513222
