t_s,phi
6.77116644222618e-06,0.6887770719778191
7.507201774063455e-06,0.6887696157885109
8.948908485019904e-06,0.6887395774209809
1.0905546438363774e-05,0.6886998179632597
1.4689738086863408e-05,0.6886258481565384
1.8473929735363043e-05,0.6885556000394595
2.2258121383862677e-05,0.6884886987950979
2.6042313032362312e-05,0.6884249218753777
3.1947143451866445e-05,0.6883311679282422
3.785197387137058e-05,0.6882436807090081
4.375680429087471e-05,0.6881618804616348
4.9661634710378844e-05,0.6880852386672529
5.556646512988298e-05,0.6880133218117568
6.330676616924025e-05,0.6879255669375666
7.104706720859753e-05,0.6878444779255853
7.878736824795481e-05,0.6877693744069318
8.652766928731209e-05,0.6876996824195426
9.426797032666937e-05,0.687634911711733
0.00010453008007977177,0.6875558996293731
0.00011479218983287417,0.6874838825489905
0.00012505429958597656,0.68741808663659
0.00013531640933907895,0.6873578546555924
0.00014557851909218134,0.6873026239540163
0.00015789313653625478,0.6872422617778545
0.00017020775398032822,0.6871876368109338
0.00018252237142440166,0.6871380976324162
0.0001948369888684751,0.6870930867883454
0.00020715160631254854,0.6870521239204548
0.00022245954896708394,0.6870062013589765
0.00023776749162161934,0.6869651993106748
0.0002530754342761547,0.6869284892489443
0.0002683833769306901,0.6868955648521791
0.00028369131958522545,0.6868659781713927
0.0002989992622397608,0.6868393419651655
