t_s,r_0_mm,r_72_mm,r_73_mm,r_351_mm
0.0,0.077195225,0.0166741686,0.128017755,0.016591101048
2.241626776520291e-08,0.07719531517246875,0.016674207314313124,0.12801772546311474,0.01659109113105681
4.483253553040582e-08,0.07719540529708649,0.01667424599879645,0.12801769593158846,0.016591081216948637
2.6899521318243495e-07,0.07719630408435085,0.01667463073128881,0.12801740094472475,0.016590982327468973
4.931578908344641e-07,0.0771972001163467,0.016675013090379817,0.12801710632890798,0.01659088372401951
1.1834597214232667e-06,0.07719994356970095,0.01667617703460123,0.12801620122535906,0.016590581739089384
1.8737615520120694e-06,0.0772026617336018,0.01667731960240512,0.12801529958996652,0.016590282421263758
2.564063382600872e-06,0.07720535440548784,0.016678440938158443,0.1280144014965443,0.016589985819943583
5.035632578332164e-06,0.07721479301193283,0.016682293789028167,0.12801121507514598,0.016588946020392525
6.992270531676034e-06,0.07722204604822316,0.016685172017702046,0.1280087247470174,0.016588147205067853
8.948908485019904e-06,0.07722911346970399,0.01668791153292548,0.12800626279586533,0.01658736951558507
1.0905546438363774e-05,0.07723600215063801,0.016690522759133023,0.12800382910195954,0.0165866125830841
1.4689738086863408e-05,0.07724884290668817,0.016695240520795532,0.12799920175075344,0.016585206237909298
1.8473929735363043e-05,0.07726108885400551,0.01669956954926859,0.12799467796221445,0.016583873533063353
2.2258121383862677e-05,0.07727278470163094,0.016703558429322137,0.1279902561440306,0.01658261174460681
2.6042313032362312e-05,0.07728396988148697,0.0167072463193722,0.12798593468140496,0.01658141814656708
3.1947143451866445e-05,0.0773004849177173,0.016712476052829894,0.12797938818313148,0.016579685447627137
3.785197387137058e-05,0.07731595567569421,0.016717150571848263,0.127973076055468,0.016578101913880885
4.375680429087471e-05,0.07733048013691096,0.01672134809943363,0.12796699219668434,0.016576657427103778
4.9661634710378844e-05,0.07734414357342216,0.016725132957661183,0.12796113048635632,0.016575342095775034
5.556646512988298e-05,0.07735702058407883,0.01672855832451257,0.12795548480277036,0.016574146335198034
6.330676616924025e-05,0.07737281758180453,0.01673257661919317,0.12794840120470508,0.01657274464177979
7.104706720859753e-05,0.07738750178933763,0.016736132160491156,0.12794166469089105,0.01657151294886129
7.878736824795481e-05,0.07740118160374987,0.016739289420011738,0.12793526176366826,0.016570432920587706
8.652766928731209e-05,0.07741395089975202,0.01674210178725823,0.12792917910877655,0.0165694876437638
9.426797032666937e-05,0.07742589156551913,0.016744613905363314,0.12792340362894825,0.016568661646969993
0.00010453008007977177,0.07744056675066599,0.01674754500694661,0.127916198160964,0.016567726609746612
0.00011479218983287417,0.07745405515601678,0.01675008541043243,0.12790948087990267,0.016566947627386676
0.00012505429958597656,0.07746647979314174,0.016752293224036804,0.12790322351185135,0.01656629960584627
0.00013531640933907895,0.07747794690819135,0.0167542165940298,0.12789739878468387,0.016565761056580443
0.00014557851909218134,0.07748854890024741,0.016755895746696135,0.12789198047973827,0.016565313707194922
0.00015789313653625478,0.07750024255728988,0.016757635555964524,0.12788597964951023,0.016564875656899597
0.00017020775398032822,0.07751092717308036,0.016759120176568255,0.12788048663392473,0.016564524734879883
0.00018252237142440166,0.07752070697527981,0.016760389172550884,0.12787546244767609,0.016564243145326854
0.0001948369888684751,0.07752967272269798,0.016761475495716206,0.1278708704363726,0.016564016567335228
0.00020715160631254854,0.07753790387443481,0.016762406723298044,0.1278666762466257,0.016563833528557358
0.00022245954896708394,0.07754721593228052,0.01676338245921057,0.12786196900977048,0.01656365313816002
0.00023776749162161934,0.07755561686661058,0.016764190550692653,0.1278577700590683,0.016563512441001266
0.0002530754342761547,0.07756320760595281,0.01676486082985851,0.12785402738105955,0.01656340118479538
0.0002683833769306901,0.07757007572002265,0.016765417626859562,0.12785069365809099,0.016563311717976217
0.00028369131958522545,0.07757629751716942,0.016765880818435917,0.12784772597625252,0.016563238368330045
0.0002989972204228933,0.07758193913864717,0.01676626666773498,0.12784508585474294,0.016563176935271675
