K_tau_r,K_sig_r,K_tau_h,K_sig_h,preop_rpa_split,postop_rpa_split,final_rpa_split,geom_err,t95,stable,n_rhs
0.0,0.0,0.0,0.0,0.7925915658092677,0.6418711803554084,0.6418711803554084,0.0,0.0,0,78
0.0,0.0,0.0,1e-07,0.7925915658092677,0.6418711803554084,0.6418711803554084,0.6910008120139607,0.2876881236137122,0,417
0.0,0.0,1e-07,0.0,0.7925915658092677,0.6418711803554084,0.6418711803554084,0.0427581874730446,0.0,1,16
0.0,0.0,1e-07,1e-07,0.7925915658092677,0.6418711803554084,0.6418711803554084,0.6907494390104794,0.2878587496838515,0,417
0.0,1e-07,0.0,0.0,0.7925915658092677,0.6418711803554084,0.6172424184616834,0.10071942218652045,0.01565380753696754,1,54
0.0,1e-07,0.0,1e-07,0.7925915658092677,0.6418711803554084,0.6246735705729022,0.588769356346851,0.2751672639247908,0,437
0.0,1e-07,1e-07,0.0,0.7925915658092677,0.6418711803554084,0.6168091806802006,0.1026437484822189,0.01723434969328215,1,54
0.0,1e-07,1e-07,1e-07,0.7925915658092677,0.6418711803554084,0.5582319194072815,0.5268576732055074,792.6039720947477,0,65016
1e-07,0.0,0.0,0.0,0.7925915658092677,0.6418711803554084,0.5582380276598911,0.4457062271109569,759.9039121033136,0,565
1e-07,0.0,0.0,1e-07,0.7925915658092677,0.6418711803554084,0.5582291767113298,0.5358479254625084,727.3045037943367,0,44784
1e-07,0.0,1e-07,0.0,0.7925915658092677,0.6418711803554084,0.558209613982013,4.484603941190129,2142.340168042723,0,368
1e-07,0.0,1e-07,1e-07,0.7925915658092677,0.6418711803554084,0.5582451202325223,0.5358403987967192,726.4457834546565,0,44977
1e-07,1e-07,0.0,0.0,0.7925915658092677,0.6418711803554084,0.617428244918739,0.09991725329202128,0.015629675089803338,1,54
1e-07,1e-07,0.0,1e-07,0.7925915658092677,0.6418711803554084,0.5582435453383828,0.5268398612471703,794.2203934168809,0,63993
1e-07,1e-07,1e-07,0.0,0.7925915658092677,0.6418711803554084,0.6170125288622439,0.1017629313161792,0.017199781668272254,1,54
1e-07,1e-07,1e-07,1e-07,0.7925915658092677,0.6418711803554084,0.5582488116556742,0.526785866967596,394.8432769054584,0,51579
