K_tau_r,K_sig_r,K_tau_h,K_sig_h,preop_rpa_split,postop_rpa_split,final_rpa_split,geom_err,t95,stable,n_rhs
1e-05,0.0,0.0,0.0,0.8051718599191652,0.6889363091444529,0.6796269783067881,0.06866272878999277,0.03183902807835906,1,76
0.0,1e-05,0.0,0.0,0.8051718599191652,0.6889363091444529,0.6654585059937465,0.11737472209763114,6.356568434931533e-05,1,50
0.0,0.0,1e-05,0.0,0.8051718599191652,0.6889363091444529,0.6889363091444529,0.08095391838372588,0.012250383279788193,1,12
0.0,0.0,0.0,1e-05,0.8051718599191652,0.6889363091444529,0.6889363091444529,0.5585932882533747,0.00020466059756714234,1,102
5e-06,0.0,0.0,0.0,0.8051718599191652,0.6889363091444529,0.6796269783067881,0.06866272878999256,0.06367805615671812,1,76
0.0,5e-06,0.0,0.0,0.8051718599191652,0.6889363091444529,0.6654585059937465,0.11737472209786773,0.00012713136869863065,1,50
0.0,0.0,5e-06,0.0,0.8051718599191652,0.6889363091444529,0.6889363091444529,0.10416389615259851,0.03152528443989208,1,14
0.0,0.0,0.0,5e-06,0.8051718599191652,0.6889363091444529,0.6889363091444529,0.5585932882533747,0.0004093211951342847,1,102
1e-06,0.0,0.0,0.0,0.8051718599191652,0.6889363091444529,0.6794933383697419,0.06953345245403882,0.31328600480394897,1,65
0.0,1e-06,0.0,0.0,0.8051718599191652,0.6889363091444529,0.6654585059934846,0.11737472209933193,0.0006356568434949738,1,50
0.0,0.0,1e-06,0.0,0.8051718599191652,0.6889363091444529,0.6889363091444529,0.2564206051805054,0.3880294810940136,1,16
0.0,0.0,0.0,1e-06,0.8051718599191652,0.6889363091444529,0.6889363091444529,0.5585932882533815,0.0020466059756714403,1,102
5e-07,0.0,0.0,0.0,0.8051718599191652,0.6889363091444529,0.6794563218421991,0.06977330836970656,0.6272588715990826,1,65
0.0,5e-07,0.0,0.0,0.8051718599191652,0.6889363091444529,0.6654585059934846,0.11737472209933193,0.0012713136869899476,1,50
0.0,0.0,5e-07,0.0,0.8051718599191652,0.6889363091444529,0.6889363091444529,0.18131645586587486,0.5487556683201362,1,16
0.0,0.0,0.0,5e-07,0.8051718599191652,0.6889363091444529,0.6889363091444529,0.5585932882533815,0.004093211951342881,1,102
1e-07,0.0,0.0,0.0,0.8051718599191652,0.6889363091444529,0.5666480571140715,0.6795084360684356,1023.0745679866068,0,789
0.0,1e-07,0.0,0.0,0.8051718599191652,0.6889363091444529,0.6654585059933749,0.11737472209994596,0.006356568434956749,1,50
0.0,0.0,1e-07,0.0,0.8051718599191652,0.6889363091444529,0.6889363091444529,0.08108663136468258,1.2270466123403223,1,16
0.0,0.0,0.0,1e-07,0.8051718599191652,0.6889363091444529,0.6889363091444529,0.5585932882532695,0.020466059756685192,1,102
