K_tau_r,K_sig_r,K_tau_h,K_sig_h,preop_rpa_split,postop_rpa_split,final_rpa_split,geom_err,t95,stable,n_rhs
1e-05,0.0,0.0,0.0,0.8051718599191652,0.6889363091444529,0.5666147023312823,0.6789005562951407,9.551943921766537,0,1174
0.0,1e-05,0.0,0.0,0.8051718599191652,0.6889363091444529,0.5486374434600669,1.5814199905074726,0.0010265842882725168,1,182
0.0,0.0,1e-05,0.0,0.8051718599191652,0.6889363091444529,0.6889363091444529,0.08095437790630719,0.012250452817222066,1,12
0.0,0.0,0.0,1e-05,0.8051718599191652,0.6889363091444529,0.6889363091444529,0.5812531771070801,0.002155477629402244,0,442
5e-06,0.0,0.0,0.0,0.8051718599191652,0.6889363091444529,0.5666147023312823,0.6789005562951409,19.103887843533073,0,1170
0.0,5e-06,0.0,0.0,0.8051718599191652,0.6889363091444529,0.5486374434600669,1.5814199905074726,0.0020531685765450337,1,182
0.0,0.0,5e-06,0.0,0.8051718599191652,0.6889363091444529,0.6889363091444529,0.10416434407020245,0.0315254200025044,1,14
0.0,0.0,0.0,5e-06,0.8051718599191652,0.6889363091444529,0.6889363091444529,0.5812531771070801,0.004310955258804488,0,440
1e-06,0.0,0.0,0.0,0.8051718599191652,0.6889363091444529,0.5666092917740527,0.6789700082070728,97.8165527501301,0,1108
0.0,1e-06,0.0,0.0,0.8051718599191652,0.6889363091444529,0.5486374434599584,1.5814199905104198,0.010265842882750618,1,182
0.0,0.0,1e-06,0.0,0.8051718599191652,0.6889363091444529,0.6889363091444529,0.256420976969831,0.3880300437056609,1,16
0.0,0.0,0.0,1e-06,0.8051718599191652,0.6889363091444529,0.6889363091444529,0.5812531771070801,0.02155477629404778,0,438
5e-07,0.0,0.0,0.0,0.8051718599191652,0.6889363091444529,0.5666095243489729,0.678963586543343,195.5153437888091,0,1091
0.0,5e-07,0.0,0.0,0.8051718599191652,0.6889363091444529,0.5486374434599584,1.5814199905104198,0.020531685765501236,1,182
0.0,0.0,5e-07,0.0,0.8051718599191652,0.6889363091444529,0.6889363091444529,0.18131686520723744,0.5487569071949642,1,16
0.0,0.0,0.0,5e-07,0.8051718599191652,0.6889363091444529,0.6889363091444529,0.5812531771070801,0.04310955258809556,0,478
1e-07,0.0,0.0,0.0,0.8051718599191652,0.6889363091444529,0.5666480571140715,0.6795084360684356,1023.0745679866068,0,789
0.0,1e-07,0.0,0.0,0.8051718599191652,0.6889363091444529,0.5486374434599464,1.581419990510714,0.1026584288274991,1,182
0.0,0.0,1e-07,0.0,0.8051718599191652,0.6889363091444529,0.6889363091444529,0.08108709082090752,1.227053565079569,1,16
0.0,0.0,0.0,1e-07,0.8051718599191652,0.6889363091444529,0.6889363091444529,0.5812531771070801,0.21554776293940886,0,434
