K_tau_r,K_sig_r,K_tau_h,K_sig_h,preop_rpa_split,postop_rpa_split,final_rpa_split,geom_err,t95,stable,n_rhs
5e-07,5e-08,5e-07,5e-08,0.7925915658092677,0.6969591934750073,0.6953698581388745,0.023624012987669238,0.0,1,44
1e-07,2e-08,1e-07,2e-08,0.7925915658092677,0.6969591934750073,0.6953727941518314,0.02371688901548675,0.0,1,44
1e-07,7.5e-08,1e-07,2.5e-08,0.7925915658092677,0.6969591934750073,0.6937045755586808,0.01643469568103092,0.0,1,48
