K_tau_r,K_sig_r,K_tau_h,K_sig_h,preop_rpa_split,postop_rpa_split,final_rpa_split,geom_err,t95,stable,n_rhs
0.0,1e-07,0.0,0.0,0.7925915658092677,0.6969591934750073,-0.5849953524445587,1.9970296991651681,0.4570524231105407,1,843
1e-07,0.0,0.0,0.0,0.7925915658092677,0.6969591934750073,0.3038461136201316,0.8516057520208277,720.4442058070538,1,417
0.0,0.0,1e-07,0.0,0.7925915658092677,0.6969591934750073,0.6969591934750073,0.013947679835761876,0.0,1,24
0.0,0.0,0.0,1e-07,0.7925915658092677,0.6969591934750073,0.6969591934750073,0.011900493898498832,0.0,1,28
